i_type,date,p_type,details,age,sex,longitude,latitude,X,Y
Driver behaviour,2014-10-08T07:55:00,hazard,"A delivery truck was parked in the bike lane. I signalled a lane change and, after shoulder checking, entered the full lane on Beatty Street between Robson and Georgia. A late-model luxury car overtook me, honked, and buzzed past, crossing the yellow line, then turned right at the next intersection.",,,-123.1130505,49.27838866,491777.3869,5458409.907
Driver behaviour,2014-01-01T08:00:00,hazard,It is common for drivers to do a right turn when the light is red (to let cyclist and pedestrian cross the road). Some will even do a rolling stop without looking for incomming cyclists.,,,-123.0236793,49.27751374,498277.6822,5458306.761
Driver behaviour,2013-10-01T08:30:00,hazard,"Some drivers will circumvent the bike only blockade. The same drivers that will, speed and pass a few feet from you.",,,-123.0363125,49.27745775,497358.7993,5458300.9
Driver behaviour,2012-09-03T10:00:00,hazard,"This crosswalk (which is a part of the bike path) is a bit dangerous. Partially due to visibility (plant growth-  i.e. trees and blackberry bushes), but also due to the fact that drivers (mostly those headed downhill) do not wish to stop at the (poorly) marked crosswalk.",1970,M,-123.0279279,49.28772488,497969.077,5459442.046
Pothole,2014-10-13T08:05:00,hazard,Directly on the southbound bike lane when crossing Marine,,,-123.1172562,49.21020317,491459.7383,5450830.195
Traffic flow,2014-10-15T17:00:00,hazard,Vehicles frequently use the bike lane as a turning lane. This happens daily. ,,,-123.1142038,49.27624332,491693.1389,5458171.534
Traffic flow,2014-10-15T17:00:00,hazard,Bike lane ends with no accommodation for cyclists on a busy road with merging traffic,,,-123.127867,49.27414339,490698.9239,5457939.675
Train track,2014-05-22T17:30:00,hazard,"Bike wheel got caught in train track that goes diagonally across the road, causing bike to slide sideways into oncoming traffic.",1991,M,-123.1362355,49.2705558,490089.4792,5457541.905
Poor signage,2014-03-01T09:00:00,hazard,The bike lane ends for 1 block in both directions on Pacific Blvd between Hornby and Howe street. The only way to cycle on Pacific here is to merge into traffic for this block until the bike lane resumes. Traffic is heavy and fast moving here especially during rush hour.,,,-123.1309408,49.27597734,490475.6873,5458143.939
Cyclist behaviour,2014-10-01T08:10:00,hazard,Cyclists frequently disregard stop signs causing dangerous motor vehicle behaviours.,,,-123.0736327,49.26501814,494642.9495,5456919.958
Poor visibility,2014-11-05T15:00:00,hazard,It is always hard to see south up Yukon when going through this intersection. I also see cyclists frequently blow through the stop signs here. A flashing yellow for motorists on Yukon or lights would are warranted here.,,,-123.1131577,49.26221757,491766.8929,5456612.171
Poor signage,2014-11-05T15:05:00,hazard,"The blinking hand lasts a long time on 10th Ave, so it is hard to know when it is safe to enter this large intersection on bike (there is no countdown). A countdown might help traffic - in eve. rush hour there is ALWAYS a vehicle stuck in the intersection on a red light, heading south on Cambie.",,,-123.1149226,49.26225258,491638.4891,5456616.257
Pedestrian behaviour,2014-07-03T18:00:00,hazard,I commute over the bridge every day and often there are oblivious pedestrians walking in the north-bound cycling lane wearing headphones and unable to hear a bell. Once or twice there have been groups of people with strollers reluctant to move because they thought bikes shouldn't be there. ,,,-123.1395721,49.27455289,489847.5719,5457986.706
Poor visibility,2014-06-01T17:20:00,hazard,"Carrall Street bikeway southbound merges at intersection with Keefer street. There is a high vegetation in median between bike path and vehicle lane just before they  merge, that causes poor visibility and makes left hand turns for cyclists difficult to communicate. ",1976,M,-123.1044888,49.27924957,492400.2394,5458504.718
Poor signage,2013-05-01T17:30:00,hazard,The designated bike route from Union to Adanac jogs at Vernon drive. Stop signs are on Union & Adanac. There is significant vehicle traffic on Vernon taking a short cut through residential neighbourhood. Stop signs should be on Vernon as well.,1976,M,-123.0792814,49.27730026,494233.4153,5458285.782
Poor visibility,2014-10-07T08:30:00,hazard,Tall grasses in parklet on southeast corner of intersection obscure the view of the westbound bike path for drivers exit ramp from Cambie Bridge to 6th Avenue east. Drivers look west for right on red (eastward) and miss westbound cyclists.  There should be no right on red here!,1950,M,-123.1156254,49.26601931,491587.9997,5457035.083
Other,2014-12-03T17:00:00,hazard,"Shoulder of SW Marine Dr was covered in snow and ice, while roadway was clear. Also, extremely heavy traffic due to construction.",1982,M,-123.1943858,49.23387389,485848.8266,5453473.228
Driver behaviour,2015-03-02T08:47:00,hazard,Vehicle access to a back alley located mid-block on Hornby St. between Davie St. & Helmcken St. Vehicles have to cross the bike lane with a right turn to access the alley. Cars field of view is obstructed by parked cars and shoulder check not respected. Regular near miss for cyslists heading north.,1983,M,-123.127175,49.2789801,490750.1654,5458477.291
Road surface,2015-02-16T08:30:00,hazard,"Seam between road surfaces is quite wide and quite deep. While riding westbound on the wet road, changing from riding in the middle of the road (to avoid the parked cars) to making a right turn, my front tire got caught in the seam and I was thrown from my bike. ",1974,M,-123.14749,49.27075181,489270.8039,5457565.232
Road surface,2015-03-18T07:40:00,hazard,"Slippery pavement with wet weather when turning from Powell St. to Carrall St.Not only is the surface paved with slippery red bricks but many are loose as well. ",,,-123.1041026,49.28335793,492428.9605,5458961.409
Other infrastructure,2015-03-27T06:20:00,hazard,Gap in west side of fence adjacent to steep drop off and narrow two-way path. ,1976,M,-123.0264473,49.29065695,498076.8592,5459767.968
Driver behaviour,2015-03-27T06:25:00,hazard,"Heavy westbound right turn traffic fails to yield to cyclists, particularly when southbound cyclist attempts to cross right turn channel from northeast pathway. Driver focus is entirely on conflicting vehicle movements.",1976,M,-123.0312055,49.28135279,497730.4322,5458733.749
Driver behaviour,2015-05-06T08:25:00,hazard,Vehicle drivers continually make a sharp right turn.  They need a physical separation.  So that when a vehicle on Ash street turns right heading north to turn right to go East on 4th Ave they are forced to make a wider turn.  This would prevent vehicles cutting off cyclists who are forced to make a ,1979,M,-123.1173921,49.26585128,491459.4408,5457016.601
Driver behaviour,2015-05-05T08:25:00,hazard,"Constant cars opening doors and moving out of parking spots without seeing if cyclists are in the way.  This forces cyclists to be in the road slowing down traffic and causing anger from vehicles.   The ""bike path"" is placed in the most dangerous place where cars are constantly opening doors.",1979,M,-123.1144881,49.27721743,491672.6227,5458279.858
Driver behaviour,2015-05-04T17:25:00,hazard,Constant cars opening doors and moving out of parking spots without seeing if cyclists are in the way. This forces cyclists to be in the road slowing down traffic and causing anger from vehicles. ,1979,M,-123.1174815,49.26446563,491452.6969,5456862.568
Driver behaviour,2015-05-03T11:45:00,hazard,Constant cars opening doors and moving out of parking spots without seeing if cyclists are in the way. This forces cyclists to be in the road slowing down traffic and causing anger from vehicles. ,1979,M,-123.069697,49.26753852,494929.544,5457199.878
Congestion,2015-05-08T08:30:00,hazard,Cyclists and pedestrians have to make tight turns with lots of traffic.  It is hard to avoid the pedestrians in a bike.  Pedestrians and cyclists should be separated.,1979,M,-123.1140879,49.27416652,491701.2221,5457940.642
Parked car,2015-05-17T13:10:00,hazard,"There is an ambiguous two-way bike lane on this block that doesn't connect to any other bike route and has no signage, but is elevated and has a white line down the middle of part of it so is presumably bicycle infrastructure. However, on a regular basis there are cars parked in it.",1983,M,-123.1016886,49.27113683,492602.6944,5457602.543
Driver behaviour,2015-05-11T10:30:00,hazard,"Drivers regularly rat-run through this block of 10th to cut from Kingsway to Main or Quebec. They drive aggressively and pay little attention to cyclists, or actively cut off or swerve near cyclists. WB 10th @ Main is worst as drivers often turn right or go straight through packs of bikes here.",1983,M,-123.1007445,49.26204603,492670.0288,5456591.823
Poor signage,2015-05-20T08:45:00,hazard,Cars do not stop for bikes riding through this bike lane.  When they have the green or are turning left.,1979,M,-123.1158804,49.26591143,491569.4256,5457023.118
Driver behaviour,2015-05-22T16:55:00,hazard,Driver turned right on a red light.  A no right turn on red light exists but drivers do not seem to see it.  I almost crashed had to slow down very quickly.  I gave the driver an evil look but he seemed to be confused as to why he should care.,1979,M,-123.1147188,49.27583544,491655.6116,5458126.246
Road surface,2015-05-29T04:55:00,hazard,Roots have damaged bike path surface,,,-123.0535698,49.2059345,496097.9494,5450350.413
Other,2005-05-29T14:40:00,hazard,"Roundabout misuse ",,,-123.1478548,49.26287572,489242.5557,5456689.696
Other infrastructure,2015-05-20T15:15:00,hazard,When crossing Quebec and on 1st Ave (eastbound) to turn north to Science world must ride on sidewalk. Right hand turn lane and old railway track makes going northbound on west side of Quebec impossible. Path joining this point to Science World Path needed.,1959,M,-123.102724,49.27017077,492527.2336,5457495.247
Driver behaviour,2015-06-01T08:00:00,hazard,"Southbound drivers on Cypress ignore ""No Right Turn On Red"" signage, and drive through bike lane to make illegal turn.",,,-123.147769,49.27248088,489250.8873,5457757.493
Pothole,2015-06-02T10:05:00,hazard,"sinkhole couple feet from edge of road on the descentnot noticeable until you're on it",1956,F,-123.2313681,49.27819268,483171.6119,5458407.731
Driver behaviour,2015-06-10T07:30:00,hazard,Aggressive passing by cars is common on this stretch!,1982,M,-123.1658256,49.2385044,487929.1176,5453983.048
Driver behaviour,2015-06-09T07:00:00,hazard,Difficult left turn to follow the 29 ave bike route.  Oncoming cars come quickly around a blind corner.  Cars going the same direction can become impatient or pass closely on the right.,,,-123.1659544,49.24609021,487921.5961,5454826.383
Driver behaviour,2015-05-12T13:25:00,hazard,No room on the shoulder of the road here. You need to take the lane.  Vehicles are often traveling very fast along here and will squeeze you off the side of the road.,,,-123.1715012,49.22757542,487513.2249,5452768.998
Driver behaviour,2015-06-16T09:15:00,hazard,"@ E. 10th & Windsor, and E. 10th & Glen, combination of factors cause collisions and near misses in the traffic circles.  High speed of bikes coming downhill, poor visibility approaching intersections,  high speed of drivers entering traffic circles.  Could be improved w/ stop signs on N/S sides.",,,-123.0824089,49.2614649,494004.0192,5456525.601
Parked car,2015-06-17T07:50:00,hazard,"29th between Earles and Rupert is incredibly narrow due to the parked cars along the side, It is also very well traveled both east and west, and visibility is reduced due to its hilliness. Cars make dangerous passes here. Would recommend taking the entire lane until Rupert.",1986,M,-123.0381632,49.24461237,497222.3433,5454649.536
Other infrastructure,2015-06-17T08:00:00,hazard,"The light at this intersection is prohibitively long. Moreover, the visibility is obscured by trees and parked cars so that cyclists cannot make crossing of opportunity in a safe manner.",1986,M,-123.0270052,49.24337963,498034.4138,5454512.142
Driver behaviour,2015-06-16T18:00:00,hazard,"Car driving south to traffic calming circle on bike path  did not see me and accelerated into me as I was crossing the circle moving west.  The car passed 6"" behind my back wheel.  I suggest highly visible road painted markings so that cars know that they are approaching a bike lane and a stop sign ",,,-123.2089233,49.26590029,484800.3353,5457036.424
Driver behaviour,2015-06-17T04:45:00,hazard,"Several drivers blocking the bike lane as they are moving from the through lane, across the bike lane, into the right turn lane (to turn onto Marine Dr).  Major congestion during rush hour but there should be better marking to keep bike lane clear.",1981,M,-123.1172723,49.21088304,491458.6833,5450905.777
Pothole,2014-08-20T15:35:00,hazard,There is a trench located here directly beside a pathway. It is not visible until you are nearly in it and there are no safety markers. ,1984,M,-123.2508087,49.26155592,481751.4763,5456562.727
Traffic flow,2015-06-16T16:45:00,hazard,,,,-123.1297445,49.27733176,490562.959,5458294.36
Road surface,2015-06-12T10:30:00,hazard,"BC Parkway bike trail here is extremely mangled by tree roots, with bumps high enough to cause a fall (almost 1ft) if you don't ride over them slowly.",,,-123.060286,49.25699409,495613.2577,5456027.062
Road surface,2015-06-02T08:25:00,hazard,"Due to tree roots crawling under the roadway, much of Vanness closer to the Skytrain tracks is dangerously bumpy when riding downhill (away from Earles St). Stick to the other side of the road and go slow.",,,-123.0447346,49.24357575,496743.9837,5454534.557
Poor visibility,2015-06-10T08:45:00,hazard,"Where the lane, the bike path (with bollards), and the end of Vanness all converge, there is almost no visibility looking around the corner. It is tempting for cyclists going downhill to ride between the bollards too speedily, risking a collision with a pedestrian or car coming out of the lane.",,,-123.0451584,49.2436633,496713.1439,5454544.308
Traffic flow,2015-06-10T14:25:00,hazard,"When trying to cross Kerr to continue on Rosemont (necessary to get to North Arm Trail from South Burnaby), one must cross a wide road of high-speed traffic without the help of a traffic signal/bike button.",,,-123.0415106,49.21555074,496976.9348,5451418.892
Traffic flow,2015-06-03T15:30:00,hazard,"When crossing Victoria to continue on Upland, one must cross continual high-speed traffic on a wide road without the help of a traffic signal/bike button. This is even more difficult going eastward, as there is a hill to climb after stopping at the stop sign.",,,-123.0659509,49.21811569,495197.2858,5451705.3
Driver behaviour,2015-06-07T08:00:00,hazard,Vehicle heading west on Dunsmuir turned right on Seymour blocking the bike lane.  No right turns are allowed at this intersection.,,,-123.115325,49.28314798,491612.7597,5458939.253
Traffic flow,2015-06-02T20:00:00,hazard,"When crossing Clarendon to continue on the Midtown/Ridgeway greenway, traffic flow is extremely fast, the road is quite wide, and there is no bike button/traffic signal available to give relief from the cars, making it very risky to attempt crossing. (Also prevents safe pedestrian crossing)",,,-123.0554581,49.2359265,495962.8503,5453684.708
Driver behaviour,2015-06-23T08:00:00,hazard,"Oncoming traffic does not respect right of way, despite signage: http://i.imgur.com/oGHkpFh.jpg",1982,M,-123.115797,49.24514468,491571.9576,5454714.466
Driver behaviour,2015-06-24T18:30:00,hazard,Cars are regularly in the right-hand bus/bike HOV lane.  I've complained to the police but never seen them enforce it,1971,M,-123.1143379,49.28429574,491684.738,5459066.741
Traffic flow,2015-06-25T05:20:00,hazard,"A stressful 3-way intersection. Drivers rarely stop at N-bound stop sign, and cars/taxis enter off of Great Northern Way at high speed, using E-Bound East 5th as a short cut. Parents frequently make u-turns after pickup/dropoff kid at the school there. ",1973,F,-123.0962706,49.2666284,492996.1914,5457100.822
Driver behaviour,2015-05-21T07:20:00,hazard,"Aggressive driver purposefully drove very, very close to myself  and another cyclist as we were proceeding westbound towards downtown. That is the closest a car has ever passed me.",1970,M,-123.0713582,49.28377785,494810.3971,5459005.326
Road surface,2015-07-06T09:55:00,hazard,Roots have made this path unusable for bikes. It is much to rough for riding.,1977,M,-123.0641001,49.20691584,495331.0057,5450460.104
Other infrastructure,2015-07-01T08:00:00,hazard,Post in the middle of the path is a hazard.  The missing pavement around the post just adds to it.,,,-123.0250418,49.29170658,498179.0985,5459884.621
Poor visibility,2015-06-11T15:10:00,hazard,"Cars parked along both sides of 10th Ave. near the junction of 10th & Balaclava (bike route) impede visibility of cyclists wanting to cross 10th. Traffic moves fast through this area.  There are pedestrian crosswalks allowing a cyclist to dismount, wheel bike to one of them, and hope to cross - slow",1948,F,-123.1740761,49.26332382,487334.8948,5456743.574
Other,2015-07-16T07:35:00,hazard,The lovely Powell St overpass separated bike lane ends and dumps cyclists onto a very busy and inhospitable Powell St.  As a result there is much sidewalk cycling here - really the only safe choice.  This link needs to be connected - from Powell St to Wall St route - to allow a connected route ,1976,F,-123.0767226,49.28316197,494420.1945,5458937.241
Driver behaviour,2015-07-22T07:40:00,hazard,"Cars turning north (right) from Dunsmuir on to Burrard often cut across over the single white line into the cycle lane without looking for cyclists. They often cause near misses, and block or obstruct the route of cyclists continuing west over burrard.",1977,F,-123.1193025,49.28553435,491323.9066,5459204.997
Driver behaviour,2014-06-14T13:00:00,hazard,"Twice at this location, drivers have turned left from the straight/right turn lane (even though it's clearly marked), which means their turning across the bicycle left turn lane, while I was turning left from the bike lane.  ",,,-123.1255925,49.28902299,490867.1207,5459593.573
Pothole,2015-08-16T13:45:00,hazard,"Manhole is about 3"" lower than remaining road surface which makes it tricky to pass cyclists at this point.",,,-123.1645489,49.26768204,488029.1117,5457226.526
Poor visibility,2015-08-19T16:30:00,hazard,When I was heading north just before getting onto the bridge I almost hit another cyclist who was coming towards me . It is very easy to sway into oncoming traffic since coming down that last hill before entering onto the bridge you get a lot of momentum and the visibility around the corner is bad. ,1979,F,-123.0260289,49.29154564,498107.3193,5459866.753
Traffic flow,2015-08-01T10:00:00,hazard,"A northbound cyclist will most likely make a left turn here, however there is no safe way to do so.  Intersection needs better design. ",1983,F,-123.0812931,49.26520017,494085.6499,5456940.766
Traffic flow,2015-08-01T10:00:00,hazard,Construction routes westbound cyclists into oncoming traffic in the intersection. Cyclists are prevented from moving to the right side of the intersection by roped off construction cones until they are already well into the intersection. ,,,-123.1026006,49.27010077,492536.1985,5457487.453
Traffic flow,2015-08-01T10:00:00,hazard,Cars drive down this street too fast. Needs design features to slow cars down. ,1983,F,-123.123951,49.26618033,490982.3252,5457053.944
Poor visibility,2015-08-01T10:00:00,hazard,Landscaping in traffic island causes poor visibility for all road users,1983,F,-123.0735898,49.26490612,494646.0596,5456907.502
Poor visibility,2015-08-01T10:00:00,hazard,Concrete beans for the bridge hide pedestrians and and cyclists waiting to use the cross walk. The cross walk itself should be a speed bump to slow cars down and give crossers a chance to cross. ,1983,F,-123.1370616,49.26995376,490029.2613,5457475.084
Poor visibility,2015-09-02T17:00:00,hazard,Poor visibility at last section of Vanness mixed use path west of Nanaimo.  Tight turns + mixed ped/bike + vertical screens = poor visibility. ,1974,M,-123.0568367,49.24860805,495863.5485,5455094.59
Driver behaviour,2015-10-19T08:45:00,hazard,Driving through roundabout the wrong way,,,-123.1878519,49.26353386,486332.6773,5456769.324
Road surface,2015-03-17T14:00:00,hazard,Lot's of construction/residential debris left on the bike path. ,,,-123.1691194,49.22607599,487686.2681,5452601.918
Other infrastructure,2015-10-22T16:30:00,hazard,Construction has blocked the street. Street is mostly closed. But frequently construction vehicles are blocking the road lately anyway. ,1981,M,-123.1478763,49.22961427,489233.7652,5452992.025
Pothole,2015-10-23T08:05:00,hazard,There is a humongous pot hole located near where the busses stop and park just off of commercial. If someone travelling east were to hit it i have no doubts that they would crash. ,,,-123.0730426,49.2647731,494685.8541,5456892.675
Road surface,2015-10-24T10:15:00,hazard,"Manhole and large  bump in asphal to the right, best to go on the left hand side of the manhole",,,-123.2338786,49.27824518,482989.0272,5458414.129
Road surface,2015-10-24T10:15:00,hazard,"1.5m long, 8cm high hump of asphalt running in the direction of travel in the bike lane.  Caused a rider to crash his bike.",1963,M,-123.2047927,49.23701231,485092.15,5453824.125
Other infrastructure,2015-10-27T06:00:00,hazard,"Coming off the Arthur Laing, the bike lane disappears and leaves you in the middle lane (of three lanes) on busy Granville St. You have about 300m to cross all three lanes of traffic to get into the left turn lane, where you can connect with the Cypress Bike Route.",1981,M,-123.1381774,49.20440639,489934.7805,5450188.344
Driver behaviour,2015-08-18T07:50:00,nearmiss,"On Georgia, a vehicle trying to cut in from the middle lane to the right lane to turn right on Thurlow nearly hit me - her vision was limited as I was behind a dump truck. Drivers often turn right onto Thurlow here, and often don't switch lanes until the last minute. ",,,-123.1231785,49.28572341,491042.0642,5459226.467
Driver behaviour,2015-10-23T16:45:00,hazard,"Coming south on Cornish to cross W 70th, you wait for green light. However, there is no green light for southbound, only crosswalk. Frequently, northbound cars turning left left onto SW Marine Dr and eastbound cars from SW Marine Dr onto Cornish fail to stop for a cyclist crossing intersection.",1981,M,-123.1421417,49.20857004,489646.8791,5450651.749
Pothole,2015-10-27T08:20:00,hazard,,,,-123.1053042,49.2406899,492334.9644,5454218.112
Other infrastructure,2015-10-27T07:30:00,hazard,"Park gate closed in early mornings (before 8am), which forces you to ride around over rough dirt.",1975,M,-123.0600929,49.2525684,495626.9191,5455535.046
Other infrastructure,2015-10-29T09:35:00,hazard,,,,-123.1299269,49.29179405,490552.4562,5459902.167
Poor signage,2015-11-02T07:55:00,hazard,"Bikes cross fast here and cars also moving fast, should be green paint here and more signage.",1976,M,-123.1436706,49.30987906,489556.9197,5461914.506
Train track,2015-11-03T09:40:00,hazard,Terrible road surface around train track,,,-123.1526613,49.26285472,488892.8442,5456688.057
Road surface,2015-11-03T13:15:00,hazard,Very poor road surface down much of Pender street. Watch out for large dips and uneven pavement.,,,-123.1136191,49.28388983,491736.9475,5459021.537
Poor signage,2015-11-03T13:15:00,hazard,"*Skull and crossbones* corner.This merging point is very dangerous. When biking home one out of two cars will not yield to the cyclists coming through on there designated path. More often then not they will entirely block the bike path. BE WARNED. ",,,-123.1331402,49.27679629,490315.8678,5458235.262
Road surface,2015-11-05T08:30:00,hazard,"Road surface when bike path transitions to road has been eroded to little more than gravel. Particularly slippery in wet months, though I did lose traction once in the summer.",1981,M,-123.1067995,49.20658663,492220.7756,5450427.019
Driver behaviour,2015-08-01T00:00:00,hazard,"Drivers LOVE to use Glen as their rat run between 12th, Broadway, and Great Northern Way. It was much worse when there was construction on Broadway this summer",1983,F,-123.081336,49.26337983,494082.31,5456738.401
Driver behaviour,2015-09-08T08:00:00,hazard,Many drivers use Windsor likely as a route to drop their child off at the nearby school. ,1983,F,-123.083396,49.25811446,493931.7915,5456153.211
Driver behaviour,2015-10-28T16:00:00,hazard,Vehicles are often parked in the bike lane here. Perhaps because of the lack of space to pull over? ,1983,F,-123.1075895,49.27021278,492173.2922,5457500.409
Road surface,2015-11-09T08:45:00,hazard,There is a gap/rough spot in the pavement going east on 7th just before the traffic circle.,,,-123.1314075,49.26521418,490439.6607,5456947.453
Road surface,2015-11-20T22:45:00,hazard,"The blocks of Alexander St. from Dunlevy to Heatley are very rough except for the very middle of the street. So all the expected ""bike"" area is unsafe for bikes. Repaving this part of Alexander would make it much better than Powell St. As a cycling choice.",1968,M,-123.0947149,49.28406129,493111.7971,5459038.703
Poor visibility,2015-10-27T20:30:00,hazard,"Sight lines are very poor here for the bike cross crossing Cambie, under the bridge, due to a large support pillar. Cars often either don't stop or creep past the stop line intruding into the cross bike and I have seen a lot of near misses.",1958,M,-123.1146491,49.26652688,491659.115,5457091.402
